symbol,period,actual,estimate,surprise,surprisePercent
EFX,2021-12-31,1.84,1.8292,0.0108,0.5904
F,2023-06-30,0.72,0.4892,0.2308,47.1791
F,2023-03-31,0.63,0.4207,0.2093,49.7504
F,2022-12-31,0.51,0.6348,-0.1248,-19.6597
F,2022-09-30,0.3,0.277,0.023,8.3032
F,2022-06-30,0.68,0.4563,0.2237,49.0248
F,2022-03-31,0.38,0.3776,0.0024,0.6356
F,2021-12-31,0.26,0.4614,-0.2014,-43.6498
FUBO,2023-03-31,-0.37,-0.443,0.073,16.4786
FUBO,2022-12-31,-0.76,-0.7286,-0.0314,-4.3096
FUBO,2022-09-30,-0.82,-0.7475,-0.0725,-9.699
FUBO,2022-06-30,-0.63,-0.7242,0.0942,13.0075
FUBO,2022-03-31,-0.89,-0.7048,-0.1852,-26.277
FUBO,2021-12-31,-0.76,-0.6821,-0.0779,-11.4206
GME,2024-03-31,-0.14,-0.1212,-0.0188,-15.5116
GME,2023-12-31,0.16,-0.1347,0.2947,218.7825
GME,2023-09-30,-0.31,-0.2794,-0.0306,-10.952
GME,2023-06-30,-0.35,-0.3813,0.0313,8.2088
GME,2023-03-31,-0.52,-0.3661,-0.1539,-42.0377
GME,2022-12-31,-0.465,0.2115,-0.6765,-319.8582
GME,2022-09-30,-0.3475,-0.1307,-0.2168,-165.8761
GOOGL,2023-06-30,1.44,1.3771,0.0629,4.5676
GOOGL,2023-03-31,1.17,1.0984,0.0716,6.5186
GOOGL,2022-12-31,1.05,1.2115,-0.1615,-13.3306
GOOGL,2022-09-30,1.06,1.2866,-0.2266,-17.6123
GOOGL,2022-06-30,1.21,1.3175,-0.1075,-8.1594
GOOGL,2022-03-31,1.231,1.325,-0.094,-7.0943
GOOGL,2021-12-31,1.5345,1.4082,0.1263,8.9689
HD,2024-03-31,3.82,3.9098,-0.0898,-2.2968
HD,2023-12-31,3.3,3.3745,-0.0745,-2.2077
HD,2023-09-30,4.24,4.2418,-0.0018,-0.0424
HD,2023-06-30,5.05,5.0924,-0.0424,-0.8326
HD,2023-03-31,4.09,3.7866,0.3034,8.0125
HD,2022-12-31,3.21,3.2739,-0.0639,-1.9518
INTC,2023-06-30,0.13,-0.0391,0.1691,432.4808
INTC,2023-03-31,-0.04,-0.1547,0.1147,74.1435
INTC,2022-12-31,0.1,0.2069,-0.1069,-51.6675
INTC,2022-09-30,0.59,0.3312,0.2588,78.1401
INTC,2022-06-30,0.29,0.7094,-0.4194,-59.1204
INTC,2022-03-31,0.87,0.8216,0.0484,5.8909
INTC,2021-12-31,1.09,0.9237,0.1663,18.0037
JNJ,2023-06-30,2.8,2.6471,0.1529,5.7761
JNJ,2023-03-31,2.68,2.5295,0.1505,5.9498
JNJ,2022-12-31,2.35,2.2518,0.0982,4.361
JNJ,2022-09-30,2.55,2.4966,0.0534,2.1389
JNJ,2022-06-30,2.59,2.5608,0.0292,1.1403
JNJ,2022-03-31,2.67,2.5898,0.0802,3.0968
JNJ,2021-12-31,2.13,2.1385,-0.0085,-0.3975
KO,2023-06-30,0.78,0.7411,0.0389,5.249
KO,2023-03-31,0.68,0.6641,0.0159,2.3942
KO,2022-12-31,0.45,0.4617,-0.0117,-2.5341
KO,2022-09-30,0.69,0.656,0.034,5.1829
KO,2022-06-30,0.7,0.6886,0.0114,1.6555
KO,2022-03-31,0.64,0.5972,0.0428,7.1668
KO,2021-12-31,0.45,0.4237,0.0263,6.2072
LBRDA,2023-03-31,0.47,1.3586,-0.8886,-65.4056
LBRDA,2022-12-31,2.15,1.8306,0.3194,17.4478
LBRDA,2022-09-30,2.05,1.6673,0.3827,22.9533
LBRDA,2022-06-30,1.99,1.1263,0.8637,76.6847
LBRDA,2022-03-31,1.77,1.3928,0.3772,27.0821
LLY,2023-03-31,1.62,1.745,-0.125,-7.1633
LLY,2022-12-31,2.09,1.7979,0.2921,16.2467
LLY,2022-09-30,1.98,1.936,0.044,2.2727
LLY,2022-06-30,1.25,1.7055,-0.4555,-26.7077
LLY,2022-03-31,2.77,2.3462,0.4238,18.0633
LLY,2021-12-31,2.49,2.4833,0.0067,0.2698
LUMN,2023-03-31,0.1,0.0623,0.0377,60.5136
LUMN,2022-12-31,0.43,0.1911,0.2389,125.0131
LUMN,2022-09-30,0.14,0.376,-0.236,-62.766
LUMN,2022-06-30,0.35,0.4668,-0.1168,-25.0214
LUMN,2022-03-31,0.63,0.4551,0.1749,38.4311
LVS,2023-06-30,0.46,0.4457,0.0143,3.2084
LVS,2023-03-31,0.28,0.2007,0.0793,39.5117
LVS,2022-12-31,-0.19,-0.0887,-0.1013,-114.2052
LVS,2022-09-30,-0.27,-0.2436,-0.0264,-10.8374
LVS,2022-06-30,-0.34,-0.2903,-0.0497,-17.1202
LVS,2022-03-31,-0.4,-0.2367,-0.1633,-68.9903
LYFT,2023-03-31,0.07,-0.0584,0.1284,219.863
LYFT,2022-12-31,0.29,0.128,0.162,126.5625
LYFT,2022-09-30,0.1,0.0704,0.0296,42.0455
LYFT,2022-06-30,0.13,-0.0328,0.1628,496.3415
LYFT,2022-03-31,0.07,-0.0691,0.1391,201.3025
MA,2023-06-30,2.89,3.0217,-0.1317,-4.3585
MA,2023-03-31,2.8,2.7972,0.0028,0.1001
MA,2022-12-31,2.65,2.6541,-0.0041,-0.1545
MA,2022-09-30,2.68,2.6407,0.0393,1.4882
MA,2022-06-30,2.56,2.4286,0.1314,5.4105
MA,2022-03-31,2.76,2.2323,0.5277,23.6393
MA,2021-12-31,2.35,2.2756,0.0744,3.2695
MANU,2023-09-30,-0.034,-0.0408,0.0068,16.6667
MANU,2023-06-30,0.0385,-0.0102,0.0487,477.451
MANU,2023-03-31,-0.0608,-0.1122,0.0514,45.8111
MANU,2022-12-31,-0.1238,-0.1122,-0.0116,-10.3387
MANU,2022-09-30,-0.1375,-0.1181,-0.0194,-16.4268
MANU,2022-06-30,0.0452,0.0204,0.0248,121.5686
META,2023-06-30,3.23,2.9641,0.2659,8.9707
META,2023-03-31,2.2,2.0681,0.1319,6.3778
META,2022-12-31,1.76,2.2609,-0.5009,-22.1549
META,2022-09-30,1.64,1.9247,-0.2847,-14.7919
META,2022-06-30,2.46,2.64,-0.18,-6.8182
META,2022-03-31,2.72,2.6087,0.1113,4.2665
META,2021-12-31,3.67,3.9153,-0.2453,-6.2652
MGM,2023-03-31,0.44,0.1045,0.3355,321.0526
MGM,2022-12-31,-1.53,-1.3712,-0.1588,-11.5811
MGM,2022-09-30,-1.39,0.2403,-1.6303,-678.4436
MGM,2022-06-30,0.03,0.2346,-0.2046,-87.2123
