symbol,year,month,change,mspr
AMZN,2020,7,100,100.0
AMZN,2020,6,-2602,-100.0
AMZN,2020,5,-16306,-48.066265
AMZN,2020,4,-53219,-99.6256
AMZN,2019,12,-4181,-100.0
AMZN,2019,11,-48085,-48.941975
AMZN,2019,10,-204,-50.49505
AMZN,2019,9,-5300,-100.0
AMZN,2019,8,-528841,-91.70139
AMZN,2019,7,-976219,-100.0
AMZN,2019,5,5222,12.252463
AMZN,2019,4,-10,-100.0
AMZN,2019,3,-2058,-100.0
AMZN,2019,2,3584,3.6957598
AMZN,2018,11,-40981,-47.393864
AMZN,2018,10,-20764,-100.0
AMZN,2018,9,-6000,-100.0
AMZN,2018,8,-13214,-23.737156
AMZN,2018,5,2332,5.65032
AMZN,2018,3,-1000,-100.0
AMZN,2018,2,-15719,-22.796026
AMZN,2017,12,-2800,-100.0
AMZN,2017,11,-994749,-94.674614
AMZN,2017,8,7214,16.018297
AMZN,2017,6,-3380,-100.0
AMZN,2017,5,-998190,-88.019775
AMZN,2017,3,-4000,-100.0
AMZN,2017,2,2262,5.0506854
AMZN,2016,12,-10308,-100.0
AMZN,2016,11,5689,10.318684
AMZN,2016,9,-14000,-100.0
AMZN,2016,8,-1003977,-94.78197
AMZN,2016,6,-6250,-100.0
AMZN,2016,5,-1003740,-94.06277
AMZN,2016,3,-6250,-100.0
AMZN,2016,2,612,0.8601062
AMZN,2015,12,-6250,-100.0
AMZN,2015,11,-23602,-23.462631
AMZN,2015,9,-6250,-100.0
AMZN,2015,8,-1016132,-93.559074
AMZN,2015,6,-2278,-48.696026
AMZN,2015,5,-35368,-31.659983
AMZN,2015,2,-2612,-2.7884533
AMZN,2014,12,-10309,-100.0
AMZN,2014,11,12036,12.564986
AMZN,2014,9,-3793,-100.0
AMZN,2014,8,16040,22.62852
AMZN,2014,6,-676,-21.976593
AMZN,2014,5,11719,15.581912
AMZN,2014,4,1667,100.0
AMZN,2014,2,-985498,-90.57253
AMZN,2013,12,-12113,-78.41652
AMZN,2013,11,-1038839,-89.44505
AMZN,2013,9,-5000,-100.0
AMZN,2013,8,-1001785,-90.09093
AMZN,2013,6,-1300,-35.135136
AMZN,2013,5,7017,6.8013296
AMZN,2013,4,1667,100.0
AMZN,2013,2,-200246,-68.66582
AMZN,2012,12,-20,-0.5963029
AMZN,2012,11,-787098,-81.8848
AMZN,2012,9,35219,27.69203
AMZN,2012,8,-18246,-15.799865
AMZN,2012,6,2333,100.0
AMZN,2012,5,7238,8.042401
AMZN,2012,4,1666,100.0
AMZN,2012,3,-4838,-36.546307
AMZN,2012,2,-72085,-40.32479
AMZN,2012,1,68,100.0
AMZN,2011,11,97,100.0
AMZN,2011,9,26500,18.675123
AMZN,2011,8,-55494,-31.499897
AMZN,2011,7,-5379,-100.0
AMZN,2011,6,-3417,-42.273907
AMZN,2011,5,10800,9.829083
AMZN,2011,4,2333,100.0
AMZN,2011,3,367,0.23063919
AMZN,2011,2,-907,-0.3399512
AMZN,2010,12,-4086,-2.6330712
AMZN,2010,11,-908523,-77.86217
AMZN,2010,10,-13358,-100.0
AMZN,2010,9,-16735,-8.986248
AMZN,2010,8,-1051304,-81.436966
AMZN,2010,3,-4010,-2.4285662
AMZN,2010,2,-1996840,-91.81634
ANGI,2023,3,1923314,89.7847
ANGI,2023,2,1717121,94.07599
ANGI,2023,1,-400,-100.0
ANGI,2022,11,0,0.0
ANGI,2022,10,-6487,-20.334785
ANGI,2022,9,-48819,-14.688016
ANGI,2022,8,-5624,-25.185848
ANGI,2022,7,-10856,-64.711494
ANGI,2022,6,1136547,71.46508
ANGI,2022,5,329972,97.05858
ANGI,2022,4,-9581,-27.37976
ANGI,2022,3,-112929,-10.368649
ANGI,2022,2,31709,36.08339
ANGI,2022,1,-10000,-100.0
ANGI,2021,12,-76290,-100.0
ANGI,2021,11,591736,57.14396
ANGI,2021,10,-90941,-23.698042
ANGI,2021,9,3350145,97.893654
ANGI,2021,8,-624,-12.631579
ANGI,2021,7,827526,100.0
ANGI,2021,6,49344,81.60349
ANGI,2021,4,59560,37.417233
ANGI,2021,3,2611131,97.6989
ANGI,2021,2,97462,9.890362
ANGI,2021,1,-10000,-1.4977235
ANGI,2020,12,-10000,-100.0
ANGI,2020,11,-10000,-100.0
ANGI,2020,10,-10000,-100.0
ANGI,2020,9,-108520,-76.54652
ANGI,2020,8,95051,0.6970412
ANGI,2020,7,-10000,-2.7622478
ANGI,2020,6,-1451506,-98.38571
ANGI,2020,5,-717668,-100.0
ANGI,2020,4,-1307081,-100.0
ANGI,2019,12,-10000,-100.0
ANGI,2019,11,-582512,-98.798164
ANGI,2019,10,-877944,-64.203285
ANGI,2019,9,24164,86.04188
ANGI,2018,12,-10000,-20.382374
ANGI,2018,11,-18002,-31.199306
ANGI,2018,10,-4000,-5.830734
ANGI,2018,9,75530,50.988308
ANGI,2018,8,-18002,-31.204716
ANGI,2018,7,-10000,-23.473076
ANGI,2018,5,70000,100.0
ANGI,2018,4,1300965,100.0
ANGI,2018,3,4988913,100.0
ANGI,2018,2,346469,100.0
ANGI,2017,11,6332,100.0
ANGI,2017,9,-6056895,-96.20299
ANGI,2017,8,-292659,-32.68914
ANGI,2017,7,-113317,-100.0
ANGI,2017,3,39530,28.26883
ANGI,2017,2,123366,60.855366
ANGI,2017,1,49,1.3355137
ANGI,2016,12,54476,39.2852
ANGI,2016,11,11636,79.502594
ANGI,2016,10,359,10.687705
ANGI,2016,8,3656,100.0
ANGI,2016,2,7440,51.509277
ANGI,2015,12,312238,100.0
ANGI,2015,11,396676,100.0
ANGI,2015,6,9774,100.0
ANGI,2015,5,26936,100.0
ANGI,2015,4,9825,100.0
ANGI,2015,3,9537,100.0
ANGI,2015,2,33282,100.0
ANGI,2015,1,11685,100.0
ANGI,2014,12,3295,100.0
ANGI,2014,11,3400,100.0
ANGI,2014,10,17532,100.0
ANGI,2014,6,-28600,-100.0
ANGI,2014,5,-28600,-100.0
ANGI,2014,4,-51000,-100.0
ANGI,2014,3,-28600,-100.0
